species,order,oCode,set,Stock,phyl,repr,code,Sex,Linf,L0,W0,EggDWg,K,t0,Lm,M,Temp,cycle,litter,aW,bW,s_W,s_Linf,s_L0,s_K,s_t0,s_Lm,s_M,source_GSI,source_F,source_eggD,source_cycle,source_litter
Prionace glauca,Charcharhiniformes,6,o,,c,v,3,f,237.5,44.5,,,0.15,-2.15,200,,25,1,35,0.00194,3.485,Ayers et al 2004,Blanco-Parra etal 2009,Blanco-Parra etal 2009(L0),Blanco-Parra etal 2009,Blanco-Parra etal 2009,Blanco-Parra etal 2009,,,,,Pratt 1979,Zhu et al 2010
Rhizoprionodon terraenovae,Charcharhiniformes,6,o,,c,v,3,f,95.62,32,130,,0.63,-1.03,75.8,,25,1,5,0.00562,2.897,Bonfil et al 1990,carlson & Baremore 2003,carlson & Baremore 2003,carlson & Baremore 2003,carlson & Baremore 2003,carlson & Baremore 2003,,,,,Parson 1983,carlson & Baremore 2003
Rhizoprionodon terraenovae,Charcharhiniformes,6,o,,c,v,3,f,92.5,32,118,,0.45,-2.01,87.5,,25,1,5,0.00562,2.897,Bonfil et al 1990,parsons 1985,Parson 1983,parsons 1985,parsons 1985,parsons 1985,,,,,Parson 1983,Parson 1983
Scyliorhinus canicula,Charcharhiniformes,6,o,,c,o,4,f,75.14,10.05,3.07,,0.15,-0.96,57,,12,1,45.5,0.00308,3.029,Dorel 1986,Ivory etal 2005,Ellis & Shackley 1997(w=3.07),Ivory etal 2005,Ivory etal 2005,Ivory etal 2005,,,,,Ellis & Shackley 1997,Ellis & Shackley 1997
Scyliorhinus canicula,Charcharhiniformes,6,o,,c,o,4,f,47.7,8.6,2.1,,0.57,-0.76,43,0.11,14.5,1,76.5,0.00578,3.176,Bendiab etal 2012,Bendiab etal 2012,Capape et al 2007(w=2.1g),Bendiab etal 2012,Bendiab etal 2012,Capape etal 2008,rodrigues-cabello & sanchez 2004,,,,Mellinger 1983,Capape etal 2008
Squatina californica,Charcharhiniformes,6,o,,c,v,3,f,126,25.5,,,0.162,,95,,17,1,6,0.0346,2.708,Coull et al 1988 (S. squatina),Caillet etal 1992,Natanson & caillet 1986(L0),Caillet etal 1992,,Natanson & caillet 1986,,,,,Natanson & caillet 1986,Natanson & caillet 1986
Squalus suckleyi,Squaliformes,8,o,,c,v,3,f,125.3,26,,,0.048,-4.88,93.5,0.094,12,2,8.5,0.00396,3.004,Gunderson & Dygert 1988,ketchen 1975,Ketchen 1972(L0),ketchen 1975,ketchen 1975,Ketchen 1972,wood et al 1979,,,,Tribuzio & kruse 2012,Tribuzio & kruse 2012
Raja asterias,Rajiformes,10,o,,c,o,4,f,67.45,7.2,6.6,,0.454,0.23,56.1,0.21845,17,0.5,50,0.0018,3.27,Merella et al 1997,Serena et al 2005,Capape et al 2007(w=6.6g),Serena et al 2005,Serena et al 2005,Serena et al 2005,Coll et al 2013,,,,Romanelli et al 2007,Romanelli et al 2007
Leucoraja ocellata,Rajiformes,10,o,,c,o,4,f,79.6,13,,,0.24,-0.5,77,,5,1,48,0.0018,3.321,McPhie & Campana 2009 (Repr…),McPhie & Campana 2009 (Bomb…),Swain et al 2009(L0),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Repr…),Swain et al 2009,,,,McPhie & Campana 2009 (Repr…),McPhie & Campana 2009 (Repr…)
Leucoraja erinacea,Rajiformes,10,o,,c,o,4,f,58.5,10.8,,,0.2,-0.9,46.4,,5,1,60,0.0028,3.321,McPhie & Campana 2009 (Repr…),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Bomb…)(L0),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Repr…),Waring 1984,,,,McPhie & Campana 2009 (Repr…),McPhie & Campana 2009 (Repr…)
