class	subclass	superorder	order	family	species	Maximum_weight_(kg)	interbirth_interval_(years)	maximum_litter_size_(daughters_per_year)	age_at_maturity_(years)	annual_mortality	rmax										
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Engraulidae	Engraulis_mordax	0.07	NA	25000	2	NA	0.43
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.22
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.29
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.27
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.37
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.21
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.47
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.44
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	1.13
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.44
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.79
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.59
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.59
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.52
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.3
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.98
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.59
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.36
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.62
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.92
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	1.08
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.84
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Melanogrammus_aeglefinus	16.8	NA	700000	3.75	NA	0.37
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Melanogrammus_aeglefinus	16.8	NA	700000	3.75	NA	0.51
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Melanogrammus_aeglefinus	16.8	NA	700000	3.75	NA	0.22
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Melanogrammus_aeglefinus	16.8	NA	700000	3.75	NA	0.39
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Melanogrammus_aeglefinus	16.8	NA	700000	3.75	NA	0.31
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Melanogrammus_aeglefinus	16.8	NA	700000	3.75	NA	0.3
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Melanogrammus_aeglefinus	16.8	NA	700000	3.75	NA	0.63
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Melanogrammus_aeglefinus	16.8	NA	700000	3.75	NA	0.65
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Melanogrammus_aeglefinus	16.8	NA	700000	3.75	NA	0.52
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Merlangius_merlangus	3.11	NA	400000	2	NA	1.07
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Merlangius_merlangus	3.11	NA	400000	2	NA	1.49
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Merlangius_merlangus	3.11	NA	400000	2	NA	0.48
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Merlangius_merlangus	3.11	NA	400000	2	NA	0.42
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Merlangius_merlangus	3.11	NA	400000	2	NA	0.61
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Micromesistius_poutassou	0.83	NA	200000	3	NA	0.46
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Micromesistius_poutassou	0.83	NA	200000	3	NA	0.58
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Pollachius_virens	32	NA	225000	5	NA	0.4
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Pollachius_virens	32	NA	225000	5	NA	0.38
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Pollachius_virens	32	NA	225000	5	NA	0.39
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Pollachius_virens	32	NA	225000	5	NA	0.42
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Pollachius_virens	32	NA	225000	5	NA	0.36
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Theragra_chalcogramma	1.4	NA	600000	4.25	NA	0.22
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Theragra_chalcogramma	1.4	NA	600000	4.25	NA	0.17
Actinopterygii	Euteleostei	Paracanthopterygii	Lophiiformes	Lophiidae	Lophius_budegassa	23.6	NA	1000000	4	NA	0.27
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Merlucciidae	Merluccius_bilinearis	2.3	NA	700000	2	NA	0.42
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Merlucciidae	Merluccius_bilinearis	2.3	NA	700000	2	NA	0.14
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Merlucciidae	Merluccius_bilinearis	2.3	NA	700000	2	NA	0.32
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Merlucciidae	Merluccius_productus	1.16	NA	79000	4	NA	0.14
Actinopterygii	Euteleostei	Protacanthopterygii	Esociformes	Esocidae	Esox_lucius	35	NA	32000	2	NA	0.6
