"YEAR","AGE","YEARCLASS","n","mean","sd","se"
2001,4,1997,2308,28.1759098786828,3.48136288756911,0.0724655166751373
2001,5,1996,1698,29.605418138987,3.62564932539177,0.0879866846345305
2001,6,1995,234,33.9529914529915,3.25753198264459,0.212951527508428
2002,0,2002,9955,10.6343545956806,2.03882968259022,0.0204343259002735
2002,1,2001,4703,17.3119285562407,2.37451559043893,0.0346248209291457
2002,2,2000,9621,20.4469389876312,4.03743092541063,0.0411618606378975
2002,3,1999,3263,26.1691694759424,3.92794615806089,0.0687633441107699
2002,4,1998,1777,29.2076533483399,3.83590610254119,0.0909964089513663
2002,5,1997,958,31.7390396659708,3.45908461452171,0.111757951104585
2002,6,1996,603,33.7064676616915,3.6269214809215,0.147699660682709
2003,0,2003,10566,11.459492712474,1.89582356339527,0.0184434691523817
2003,1,2002,837,18.3285543608124,3.62352883045512,0.1252474787215
2003,2,2001,13128,21.7323278488726,3.35236006050024,0.0292584539562951
2003,3,2000,3025,26.4059504132231,4.21313347538418,0.0766024268251669
2003,4,1999,2374,27.8711036225779,3.76985166658821,0.0773720145699818
2003,5,1998,877,31.3603192702395,3.37533003808319,0.113976796864423
2003,6,1997,846,31.6406619385343,3.50329704881079,0.120445833603306
2004,0,2004,10497,10.4075450128608,1.69357315123284,0.0165299432074733
2004,1,2003,6072,16.1366930171278,3.09676333271067,0.0397413059633692
2004,2,2002,11143,21.2038050794221,4.50353536571216,0.0426631101368129
2004,3,2001,6128,26.3852806788512,3.86041230220447,0.049314463489307
2004,4,2000,2411,28.9746992948984,3.81944450008204,0.0777860285244009
2004,5,1999,1285,30.2747081712062,3.89104211424948,0.108546135845074
2004,6,1998,638,32.3996865203762,3.74188393045348,0.148142603441831
2005,0,2005,9842,11.3783783783784,2.54820249062555,0.0256857502523528
2005,1,2004,3585,17.7659693165969,3.56612629726311,0.059559650415444
2005,2,2003,10892,20.5621557106133,3.73110174674959,0.0357505951513009
2005,3,2002,3237,25.9681804139635,4.21273462968507,0.0740444911718008
2005,4,2001,2541,28.4124360487997,4.43011202204829,0.0878845180873168
2005,5,2000,811,32.0320591861899,4.71629254649741,0.165611430683556
2005,6,1999,740,32.55,3.84601264443628,0.141382236647361
2006,0,2006,16877,10.2995793091189,2.03386427179934,0.0156557667425937
2006,1,2005,2380,16.8079831932773,3.58405043721452,0.0734658713895956
2006,2,2004,6984,21.7402634593356,4.01109798532323,0.0479966753929664
2006,3,2003,4010,25.7932668329177,4.18312477129295,0.0660584885029392
2006,4,2002,1991,27.9558011049724,4.41867385556209,0.0990276144761842
2006,5,2001,2059,29.247693054881,4.36422846094084,0.0961787888599119
2006,6,2000,640,31.9890625,3.26716567940506,0.129146063000643
2007,0,2007,10559,10.3976702339237,2.00291468539063,0.019491760024932
2007,1,2006,3496,14.6198512585812,3.35534004479578,0.0567480350172672
2007,2,2005,9854,21.7363507205196,4.24893989407665,0.0428030098008135
2007,3,2004,4822,26.4937785151389,4.13968187858581,0.0596147003350455
2007,4,2003,3766,27.7782793414764,4.4270046366766,0.0721389503714142
2007,5,2002,1695,29.4920353982301,4.71587302304318,0.114545294127541
2007,6,2001,2674,29.45325355273,4.39750706059215,0.0850405076340263
2008,0,2008,11244,9.71504802561366,1.66731916684626,0.0157238294374592
2008,1,2007,2243,17.8238965670976,2.76974213931348,0.0584823346644608
2008,2,2006,12099,21.6542689478469,3.88605272355892,0.0353292119473092
2008,3,2005,5821,27.3111149287064,4.09772317269229,0.0537085980345595
2008,4,2004,4043,28.7271827850606,4.33157179939576,0.0681229814516375
2008,5,2003,3489,29.9836629406707,4.56559194551637,0.0772941469779874
2008,6,2002,1676,31.3538186157518,5.49893805546365,0.134320351712407
2009,0,2009,7317,11.2375290419571,2.35965191334295,0.0275855352267045
2009,1,2008,2669,17.9426751592357,2.90854021532608,0.0562990136458277
2009,2,2007,13475,21.8718367346939,4.1313384876252,0.0355898692088497
2009,3,2006,8781,25.5191891584102,4.47949029787917,0.0478031605909741
2009,4,2005,4365,28.8792668957617,4.39375477683613,0.0665033756887579
2009,5,2004,2380,30.8995798319328,4.75587288008707,0.0974858896308634
2009,6,2003,2109,32.0526315789474,4.73847137331835,0.103181056727508
2010,0,2010,15305,10.7543939888925,2.32977397452269,0.0188320293591861
2010,1,2009,1965,18.0681933842239,2.63271580471732,0.0593912824559293
2010,2,2008,8442,22.02890310353,3.09875654144624,0.0337259958828352
2010,3,2007,5718,26.2147604057363,4.57419494999645,0.0604912549658833
2010,4,2006,3834,29.2571726656234,4.8222900723946,0.0778802391432699
2010,5,2005,2285,29.8485776805252,6.25115078293371,0.130772634318653
2010,6,2004,740,31.8189189189189,6.36866219067749,0.234116678288104
2011,0,2011,6928,10.2090069284065,1.93115813156968,0.0232013842996301
2011,1,2010,4270,13.9618266978923,3.32874283646866,0.0509408640742641
2011,2,2009,17120,20.3719042056075,4.09755366290433,0.0313164676496292
2011,3,2008,9175,24.6680108991826,4.09571499455785,0.0427589164870203
2011,4,2007,6218,27.4136378256674,4.47655992820344,0.0567700195733094
2011,5,2006,4971,29.3586803460068,4.58853160853767,0.0650806446518316
2011,6,2005,3391,29.79416101445,5.14750918910717,0.0883961266932786
2012,0,2012,10145,10.1238048299655,2.05816689781346,0.0204340552515203
2012,1,2011,1762,15.8762769580023,3.72774702545277,0.0888062395094345
2012,2,2010,23146,20.5753477922751,3.23609138748389,0.021270749998576
2012,3,2009,14912,23.5948900214592,4.15859663856159,0.0340548405101013
2012,4,2008,9143,26.2851361697473,4.26631566521105,0.0446178486451468
