Group;Species;Temp;Body mass;Respiration;Respiratio 15 C;Spec Resp 15C ;Source;Source;;;
Amphipoda;Hyperia galba male;8;1.16E+01;1.74E+01;3.57E+01;3.07E+00;9;Ikeda 1970;;;
Amphipoda;Themisto libellula;0;3.94E-01;7.13E-01;3.34E+00;8.48E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;4.93E-01;3.33E-01;1.56E+00;3.17E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;4.93E-01;3.92E-01;1.84E+00;3.73E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;1.97E+00;4.05E+00;1.90E+01;9.63E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;3.40E+00;3.65E+00;1.71E+01;5.03E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;4.43E+00;5.44E+00;2.55E+01;5.75E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;5.71E+00;6.96E+00;3.26E+01;5.71E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;6.16E+00;9.01E+00;4.22E+01;6.86E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;6.16E+00;7.14E+00;3.34E+01;5.43E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;6.30E+00;5.71E+00;2.67E+01;4.24E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;7.54E+00;7.27E+00;3.41E+01;4.52E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;7.78E+00;9.15E+00;4.29E+01;5.51E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;7.93E+00;6.37E+00;2.99E+01;3.77E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;9.65E+00;9.64E+00;4.52E+01;4.68E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;9.90E+00;1.07E+01;5.02E+01;5.07E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;1.66E+01;1.90E+01;8.88E+01;5.35E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;1.73E+01;1.45E+01;6.80E+01;3.92E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;1.88E+01;1.21E+01;5.65E+01;3.01E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;2.10E+01;1.99E+01;9.34E+01;4.44E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;2.30E+01;2.09E+01;9.78E+01;4.24E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;2.70E+01;2.47E+01;1.16E+02;4.28E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;3.15E+01;2.85E+01;1.33E+02;4.24E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;3.18E+01;2.42E+01;1.13E+02;3.57E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;4.87E+01;3.21E+01;1.50E+02;3.09E+00;3;Auel & Werner 2003;;;
Amphipoda;Themisto libellula;0;5.28E+01;2.95E+01;1.38E+02;2.62E+00;3;Auel & Werner 2003;;;
Amphipoda;Hyperia galba female;12.1;2.50E+00;7.60E+00;1.02E+01;4.10E+00;8;Ikeda 1970;;;
Amphipoda;Hyperia sp;6.7;4.87E-01;1.37E+00;3.22E+00;6.61E+00;8;Ikeda 1970;;;
Amphipoda;Euthemisto libellula ad;5.8;6.21E-01;1.77E+00;4.56E+00;7.35E+00;8;Ikeda 1970;;;
