Order;Scientific name;Type;FBRP;M;K;Amax;L∞;Habitat;Reference
Carcharhiniformes;Triaenodon obesus;F0.5r;0.059;0.277;0.34;25;232.77;reef;30
Carcharhiniformes;Sphyrna tiburo;F0.5r;0.13;0.368;0.37;6;109.9;reef;30
Carcharhiniformes;Mustelus antarcticus;F0.5r;0.039;0.197;0.146;18;182.4;demersal;6
Carcharhiniformes;Mustelus antarcticus;F0.5r;0.058;0.197;0.146;18;182.4;demersal;35
Carcharhiniformes;Scyliorhinus canicula;F0.5r;0.253;0.19;0.364;12;72.3;demersal;6
Carcharhiniformes;Carcharhinus tilstoni;F0.5r;0.068;0.18;0.164;12;179.5;pelagic;6
Carcharhiniformes;Mustelus manazo;F0.5r;0.046;0.33;0.137;9.5;125.4;bathy;6
Carcharhiniformes;Carcharhinus sorrah;F0.5r;0.044;0.18;0.754;8;111.2;demersal;6
Carcharhiniformes;Carcharhinus brachyurus;F0.5r;0.021;0.07;0.037;35;385;demersal;6
Carcharhiniformes;Alopias pelagicus;F0.5r;0.01;0.23;0.101;16;189.5;demersal;6
Carcharhiniformes;Carcharhinus brevipinna;F0.5r;0.018;0.31;0.209;17.42;214;reef;6
;;;;;;;;;
Teleost;;;;;;;;;
Beryciformes;Centroberyx affinis;Fmsy;0.175;0.1;0.249;40;25.1;benthopelagic;17
Beryciformes ;Beryx splendens;Fmsy;0.297;0.22;0.179;23;48.4;benthopelagic;17
Clupeiformes;Clupea harengus;Fmsy;0.231;0.245;0.363;25;28.8;pelagic;9
Clupeiformes ;Clupea harengus harengus;Fmsy;0.31;0.37;0.39;21.5;29.63; ;22
Gadiformes;Gadus macrocephalus;Fmsy;0.18;0.25;0.321;18;97;demersal;32
Gadiformes;Gadus macrocephalus;Fmsy;0.12;0.25;0.321;18;97;demersal;32
Gadiformes;Gadus morhua;Fmsy;0.23;0.264;0.189;23;104.1;benthopelagic;22
Gadiformes;Gadus morhua;Fmsy;0.18;0.264;0.189;23;104.1;benthopelagic;22
Gadiformes;Gadus morhua;Fmsy;0.23;0.264;0.189;23;104.1;benthopelagic;2
Gadiformes;Melanogrammus aeglefinus;Fmsy;0.53;0.31;0.235;22;69.1;demersal;2
Gadiformes;Theragra chalcogramma;Fmsy;0.31;0.462;0.22;10;76.6;benthopelagic;32
Gadiformes ;Macruronus novaezelandiae;Fmsy;0.237;0.2;0.166;25;112.6;demersal;17
Gadiformes ;Mora moro;Fmsy;0.162;0.08;0.39;14.1;83;bathy;17
Gadiformes ;Urophycis chuss;Fmsy;0.65;0.32;0.189;23;60.2;demersal;22
Gadiformes ;Urophycis tenuis;Fmsy;0.55;0.189;0.161;23;110;demersal;22
Ophidiiformes;Genypterus blacodes;Fmsy;0.167;0.2;0.113;30;136.5;bathy;17
Perciformes;Epinephelus itajara;Fmsy;0.13;0.25;0.126;25.33;201;reef;22
Perciformes;Epinephelus morio;Fmsy;0.213;0.18;0.133;25.33;88.2;reef;22
Perciformes;Epinephelus niveatus;Fmsy;0.05;0.18;0.082;27;129;demersal;22
Perciformes;Hyperoglyphe antarctica;Fmsy;0.106;0.1;0.173;42;95.5;benthopelagic;17
Perciformes;Lopholatilus chamaeleonticeps;Fmsy;0.21;0.114;0.114;35;95.1;demersal;22
Perciformes;Lopholatilus chamaeleonticeps;Fmsy;0.043;0.114;0.114;35;95.1;demersal;22
Perciformes;Micropogonias undulatus;Fmsy;0.39;0.87;0.568;5;40.9;demersal;33
Perciformes;Morone sxtilis;Fmsy;0.38;0.15;0.25;9;62.86; ;5
Perciformes;Nemadactylus macropterus;Fmsy;0.167;0.11;0.184;40;46.6;demersal;17
Perciformes;Ocyurus chrysurus;Fmsy;0.33;0.423;0.193;17;53.1;reef;22
Perciformes;Pagrus pagrus;Fmsy;0.19;0.289;0.182;18;54.9;reef;22
Perciformes;Pomatomus saltatrix;Fmsy;0.19;0.349;0.159;9;97.8;pelagic;22
Perciformes;Pseudocaranx wrighti;Fmsy;0.15;0.1;0.26;49;55.66;pelagic;17
Perciformes;Rexea solandri;Fmsy;0.151;0.25;0.181;17;106.1;bathy;17
Perciformes;Rhomboplites aurorubens;Fmsy;0.38;0.2;0.197;10;63;demersal;22
Perciformes;Rhomboplites aurorubens;Fmsy;0.81;0.36;0.197;10;63;demersal;22
Perciformes;Scomber scombrus;Fmsy;0.16;0.193;0.394;17;40.5;pelagic;22
Perciformes;Scomberomorus commerson;Fmsy;0.5;0.53;0.415;14;154.4;demersal;24
Perciformes;Seriolella brama;Fmsy;0.503;0.45;0.224;15;61;benthopelagic;17
Perciformes;Seriolella caerulea;Fmsy;0.449;0.25;0.29;12;67;bathy;17
Perciformes;Sillago bassensis;Fmsy;0.919;0.6;0.274;10;31.8;demersal;17
Perciformes;Sillago robusta;Fmsy;0.121;1.1;1.004;7.63;17;demersal;23
Perciformes;Thunnus albacares;Fmsy;0.82;0.525;0.37;8;184.4;pelagic;32
Pleuronectiformes;Hippoglossus stenolepis;Fmsy;0.5;0.189;0.079;42;173.5;demersal;22
Pleuronectiformes;Lepidopsetta bilineata;Fmsy;0.18;0.201;0.133;22;57.4;demersal;32
Pleuronectiformes;Limanda aspera;Fmsy;0.07;0.22;0.111;26;56.5;demersal;32
Pleuronectiformes;Pleuronectes platessa;Fmsy;0.175;0.1;0.147;25;55.4;demersal;19
Pleuronectiformes;Pseudopleuronectes americanus;Fmsy;0.43;0.3;0.396;10;45.7;demersal;22
Pleuronectiformes;Pseudopleuronectes americanus;Fmsy;0.22;0.3;0.396;10;45.7;demersal;22
Pleuronectiformes;Pseudopleuronectes americanus;Fmsy;0.32;0.3;0.396;10;45.7;demersal;22
Pleuronectiformes;Reinhardtius hippoglossoide;Fmsy;0.346;0.112;0.08;22;119.67; ;15
Pleuronectiformes ;Limanda ferruginea;Fmsy;0.17;0.15;0.335;12;50;demersal;22
Pleuronectiformes ;Limanda ferruginea;Fmsy;0.37;0.15;0.335;12;50;demersal;2
Pleuronectiformes ;Limanda ferruginea;Fmsy;0.25;0.15;0.335;12;50;demersal;22
Pleuronectiformes ;Limanda ferruginea;Fmsy;0.26;0.15;0.335;12;50;demersal;22
Scorpaeniformes;Helicolenus percoides;Fmsy;0.1;0.1;0.111;42;43.9;demersal;17
Scorpaeniformes;Platycephalus richardsoni;Fmsy;0.204;0.2;0.24;9.5;60.9;demersal;17
Scorpaeniformes;Sebastes aleutianus;Fmsy;0.06;0.12;0.17;205;44.95;bathy;32
Scorpaeniformes;Sebastes aleutianus;Fmsy;0.08;0.12;0.17;205;44.95;bathy;32
Scorpaeniformes;Sebastes alutus;Fmsy;0.06;0.156;0.131;100;44.1;bathy;32
Scorpaeniformes;Sebastes alutus;Fmsy;0.08;0.156;0.131;100;44.1;bathy;32
Scorpaeniformes;Sebastes aurora;Fmsy;0.08;0.12;0.17;62;44.95;bathy;32
Scorpaeniformes;Sebastes babcocki;Fmsy;0.08;0.12;0.17;62;44.95;demersal;32
Scorpaeniformes;Sebastes borealis;Fmsy;0.06;0.12;0.17;157;44.95;bathy;32
Scorpaeniformes;Sebastes borealis;Fmsy;0.08;0.12;0.17;157;44.95;bathy;32
Scorpaeniformes;Sebastes crameri;Fmsy;0.08;0.07;0.086;66;38.2;demersal;32
Scorpaeniformes;Sebastes diploproa;Fmsy;0.08;0.12;0.17;84;44.95;bathy;32
Scorpaeniformes;Sebastes elongatus;Fmsy;0.08;0.12;0.17;42;44.95;demersal;32
Scorpaeniformes;Sebastes entomelas;Fmsy;0.121;0.125;0.17;60;44.95;pelagic;14
Scorpaeniformes;Sebastes fasciatus;Fmsy;0.12;0.12;0.17;62;44.95;demersal;20
Scorpaeniformes;Sebastes goodei;Fmsy;0.08;0.12;0.24;27;45.9;demersal;32
Scorpaeniformes;Sebastes jordani;Fmsy;0.08;0.12;0.244;31;29.7;demersal;32
Scorpaeniformes;Sebastes levis;Fmsy;0.051;0.12;0.17;55;44.95;bathy;21
Scorpaeniformes;Sebastes melanostomus;Fmsy;0.08;0.12;0.17;62;44.95;bathy;32
Scorpaeniformes;Sebastes miniatus;Fmsy;0.08;0.12;0.17;43;44.95;reef;32
Scorpaeniformes;Sebastes mystinus;Fmsy;0.35;0.12;0.167;44;38.7;reef;16
Scorpaeniformes;Sebastes paucispinis;Fmsy;0.063;0.15;0.119;50;82.2;reef;18
Scorpaeniformes;Sebastes pinniger;Fmsy;0.037;0.034;0.123;84;56.2;reef;21
Scorpaeniformes;Sebastes polyspinis;Fmsy;0.06;0.12;0.18;57;31.3;demersal;32
Scorpaeniformes;Sebastes polyspinis;Fmsy;0.08;0.12;0.18;57;31.3;demersal;32
Scorpaeniformes;Sebastes reedi;Fmsy;0.08;0.092;0.128;99;45.3;bathy;32
Scorpaeniformes;Sebastes ruberrimus;Fmsy;0.032;0.09;0.044;118;65.1;reef;32
Scorpaeniformes;Sebastes saxicola;Fmsy;0.08;0.12;0.17;38;44.95;demersal;32
Scorpaeniformes;Sebastes variegatus;Fmsy;0.08;0.12;0.17;47;44.95;demersal;32
Scorpaeniformes;Sebastes wilsoni;Fmsy;0.08;0.12;0.17;106;44.95;demersal;32
Scorpaeniformes;Sebastes zacentrus;Fmsy;0.06;0.07;0.094;58;34.9;bathy;32
Scorpaeniformes;Sebastes zacentrus;Fmsy;0.08;0.07;0.094;58;34.9;bathy;32
Scorpaeniformes;Sebastolobus alascanus;Fmsy;0.07;0.06;0.02;115;83;bathy;32
Scorpaeniformes;Sebastolobus altivelis;Fmsy;0.07;0.21;0.12;45;41;bathy;32
Scorpaeniformes ;Anoplopoma fimbria;Fmsy;0.27;0.37;0.248;114;75.6;bathy;32
Zeiformes;Zenopsis nebulosus;Fmsy;0.256;0.3;0.22;45;72;bathy;17
Zeiformes;Zeus faber;Fmsy;0.222;0.36;0.322;12;52.7;benthopelagic;17
Aulopiformes;Saurida tumbil;Fproxy;0.512;1.14;0.384;7;57.4;reef;27
Beryciformes;Centroberyx affinis;Fproxy;0.131;0.1;0.249;40;25.1;benthopelagic;17
Beryciformes ;Beryx splendens;Fproxy;0.198;0.22;0.179;23;48.4;benthopelagic;17
Clupeiformes;Clupea harengus;Fproxy;0.268;0.25;0.363;25;28.8;pelagic;9
Clupeiformes;Clupea harengus;Fproxy;0.212;0.245;0.363;25;28.8;pelagic;9
Clupeiformes;Clupea harengus;Fproxy;0.126;0.245;0.363;25;28.8;pelagic;9
Clupeiformes;Clupea harengus;Fproxy;0.164;0.245;0.363;25;28.8;pelagic;9
Clupeiformes;Clupea harengus;Fproxy;0.16;0.245;0.363;25;28.8;pelagic;9
Clupeiformes;Clupea harengus;Fproxy;0.168;0.1;0.363;25;28.8;pelagic;9
Clupeiformes;Sardinops sagax;Fproxy;0.1;0.415;0.485;13;26.6;pelagic;22
Clupeiformes;Stolephorus indicus;Fproxy;1.007;1.87;1.112;4.27;16.5;reef;27
Clupeiformes ;Engraulis mordax;Fproxy;0.25;0.64;0.419;7;19;pelagic;22
Clupeiformes ;Sprattus sprattus;Fproxy;0.516;0.746;0.598;7;15;pelagic;9
Gadiformes;Gadus morhua;Fproxy;0.132;0.2;0.189;23;104.1;benthopelagic;9
Gadiformes;Gadus morhua;Fproxy;0.18;0.2;0.189;23;104.1;benthopelagic;9
Gadiformes;Gadus morhua;Fproxy;0.15;0.2;0.189;23;104.1;benthopelagic;9
Gadiformes;Gadus morhua;Fproxy;0.132;0.5;0.189;23;104.1;benthopelagic;9
Gadiformes;Gadus morhua;Fproxy;0.192;0.2;0.189;23;104.1;benthopelagic;9
Gadiformes;Gadus morhua;Fproxy;0.148;0.2;0.189;23;104.1;benthopelagic;9
Gadiformes;Melanogrammus aeglefinus;Fproxy;0.26;0.31;0.235;22;69.1;demersal;22
Gadiformes;Melanogrammus aeglefinus;Fproxy;0.123;0.2;0.235;22;69.1;demersal;9
Gadiformes;Melanogrammus aeglefinus;Fproxy;0.23;0.31;0.235;22;69.1;demersal;22
Gadiformes;Melanogrammus aeglefinus;Fproxy;0.18;0.2;0.235;22;69.1;demersal;9
Gadiformes;Merlangius merlangus;Fproxy;0.268;0.2;0.359;20;46;benthopelagic;9
Gadiformes;Merlangius merlangus;Fproxy;0.18;0.2;0.359;20;46;benthopelagic;9
Gadiformes;Merlangius merlangus;Fproxy;0.138;0.2;0.359;20;46;benthopelagic;9
Gadiformes;Merluccius merluccius;Fproxy;0.179;0.2;0.195;7;66.8;demersal;9
Gadiformes;Merluccius merluccius;Fproxy;0.097;0.2;0.195;7;66.8;demersal;9
Gadiformes;Micromesistius poutassou;Fproxy;0.28;0.2;0.294;8;35.2;pelagic;9
Gadiformes;Pollachius virens;Fproxy;0.105;0.225;0.136;10;122.2;demersal;9
Gadiformes ;Macruronus novaezelandiae;Fproxy;0.172;0.2;0.166;25;112.6;demersal;17
Gadiformes ;Merluccius bilinearis;Fproxy;0.41;0.4;0.421;7;46;demersal;22
Gadiformes ;Merluccius bilinearis;Fproxy;0.39;0.4;0.421;7;46;demersal;22
Gadiformes ;Mora moro;Fproxy;0.105;0.08;0.39;14.1;83;bathy;17
Lophiiformes;Lophius americanus;Fproxy;0.2;0.15;0.084;30;167;demersal;22
Lophiiformes ;Lophius budegassa;Fproxy;0.097;0.12;0.101;21;87.4;bathy;9
Lophiiformes ;Lophius piscatorius;Fproxy;0.054;0.18;0.146;24;133.6;bathy;9
Ophidiiformes;Genypterus blacodes;Fproxy;0.153;0.2;0.113;30;136.5;bathy;17
Perciformes;Acanthopagrus bifasciatus;Fproxy;0.862;0.669;0.206;19;37.5;reef;12
Perciformes;Argyrops spinifer;Fproxy;0.384;0.573;0.143;16.39;77.1;demersal;12
Perciformes;Carangoides malabaricus;Fproxy;0.932;1.52;0.819;18.27;25;reef;27
Perciformes;Centropristis striata;Fproxy;0.43;0.71;0.373;20;34.8;reef;22
Perciformes;Coryphaena hippurus;Fproxy;0.49;0.87;1.633;4;159.5;pelagic;22
Perciformes;Epinephelus drummondhayi;Fproxy;0.14;0.2;0.129;25;97;demersal;22
Perciformes;Epinephelus flavolimbatus;Fproxy;0.2;0.25;0.098;35;96.3;demersal;22
Perciformes;Epinephelus morio;Fproxy;0.28;0.18;0.133;25.33;88.2;reef;22
Perciformes;Epinephelus nigritus;Fproxy;0.18;0.189;0.093;24;201;demersal;22
Perciformes;Epinephelus striatus;Fproxy;0.18;0.239;0.129;29;93.3;reef;22
Perciformes;Euthynnus alletteratus;Fproxy;0.197;0.29;0.178;8;117.7;reef;22
Perciformes;Gazza minuta;Fproxy;1.285;2.01;1.017;2.6;17.8;demersal;27
Perciformes;Haemulon plumierii;Fproxy;0.26;0.28;0.28;13;41;reef;22
Perciformes;Hyperoglyphe antarctica;Fproxy;0.101;0.1;0.173;42;95.5;benthopelagic;17
Perciformes;Johnius coitor;Fproxy;1.383;1.91;0.71;3.4;31.18;demersal;27
Perciformes;Leiognathus bindus;Fproxy;1.287;2.1;1.447;3.2;11.4;demersal;27
Perciformes;Leiognathus elongatus;Fproxy;1.26;2.24;1.173;2;13.6;demersal;27
Perciformes;Leiognathus equulus;Fproxy;1.029;1.61;1.054;2.6;22.5;reef;27
Perciformes;Leiognathus splendens;Fproxy;1.029;1.61;0.976;2;13.7;demersal;27
Perciformes;Lutjanus analis;Fproxy;0.34;0.31;0.16;29;93.4;reef;22
Perciformes;Lutjanus campechanus;Fproxy;0.4;0.2;0.171;57;92.4;reef;22
Perciformes;Lutjanus synagris;Fproxy;0.67;0.509;0.24;19;45.4;reef;22
Perciformes;Mycteroperca bonaci;Fproxy;0.25;0.38;0.164;14;125.5;reef;22
Perciformes;Mycteroperca microlepis;Fproxy;0.2;0.34;0.144;16;120.6;reef;22
Perciformes;Mycteroperca microlepis;Fproxy;0.25;0.34;0.144;16;120.6;reef;22
Perciformes;Mycteroperca phenax;Fproxy;0.23;0.38;0.128;21;77.5;reef;22
Perciformes;Nemadactylus macropterus;Fproxy;0.127;0.11;0.184;40;46.6;demersal;17
Perciformes;Nemipterus hexodon;Fproxy;0.849;1.51;0.508;4.15;25.7;demersal;27
Perciformes;Nemipterus japonicus;Fproxy;0.771;1.37;0.578;3.3;30.4;demersal;27
Perciformes;Nemipterus nematophorus;Fproxy;0.732;1.42;0.621;4.15;25.6;demersal;27
Perciformes;Nemipterus virgatus;Fproxy;0.844;1.5;0.366;4.15;37.1;demersal;27
Perciformes;Pennahia anea;Fproxy;0.701;1.56;1.061;2.2;26;demersal;27
Perciformes;Pentaprion longimanus;Fproxy;1.9;3.1;1.118;2.8;15.2;demersal;27
Perciformes;Peprilus triacanthus;Fproxy;0.38;1.23;0.8;2;18.2;benthopelagic;22
Perciformes;Polyprion americanus;Fproxy;0.36;0.16;0.1;60;160.5;bathy;22
Perciformes;Pomadasys argyreus;Fproxy;1.091;1.78;0.759;11.5;13.9;demersal;27
